code,value
PL812,-11.2
PL814,-2.4
PL815,-8.8
PL82,-3.6
PL821,-6.6
PL822,-7.6
PL823,0.8
PL824,-3.5
PL84,-4.5
PL841,0.1
PL842,-8.6
PL843,-7.9
PL9,0.1
PL91,3.7
PL911,-0.1
PL912,6.4
PL913,10.9
PL92,-5.4
PL921,-6.0
PL922,-6.0
PL923,-7.5
PL924,-5.0
PL925,-4.0
PL926,-3.2
PT,11.6
PT1,11.9
PT11,9.2
PT111,6.6
PT112,12.5
PT119,4.9
PT11A,12.7
PT11B,1.9
PT11C,2.3
PT11D,2.7
PT11E,3.8
PT15,11.4
PT150,11.4
PT19,13.9
PT191,20.8
PT192,12.5
PT193,17.2
PT194,12.4
PT195,6.7
PT196,4.7
PT1A,13.7
PT1A0,13.7
PT1B,13.0
PT1B0,13.0
PT1C,4.2
PT1C1,16.2
PT1C2,2.1
PT1C3,-2.1
PT1C4,2.1
PT1D,18.5
PT1D1,24.3
PT1D2,13.1
PT1D3,14.2
PT2,3.7
PT20,3.7
PT200,3.7
PT3,10.0
PT30,10.0
PT300,10.0
RO,0.6
RO1,3.1
RO11,3.1
RO111,3.5
RO112,3.2
RO113,6.7
RO114,0.3
RO115,0.1
RO116,0.0
RO12,3.1
RO121,-0.4
RO122,7.8
RO123,-0.6
RO124,1.2
RO125,0.8
RO126,5.5
RO2,-1.0
RO21,0.7
RO211,-2.7
RO212,-0.2
RO213,6.0
RO214,-3.5
RO215,4.5
RO216,-5.3
RO22,-3.5
RO221,-8.2
RO222,-6.2
RO223,0.6
RO224,-2.6
RO225,-8.7
RO226,-2.5
RO3,1.6
RO31,-2.7
RO311,-1.6
RO312,-4.0
RO313,-0.5
RO314,-0.3
RO315,-2.0
RO316,-3.3
RO317,-8.1
RO32,6.8
RO321,-1.8
RO322,32.8
RO4,-1.3
RO41,-3.3
RO411,-2.1
RO412,-4.0
RO413,-5.7
RO414,-5.4
RO415,-0.8
RO42,0.9
RO421,1.0
RO422,-5.0
RO423,-7.5
RO424,7.6
RS,-5.4
RS1,-2.5
RS11,0.2
RS110,0.2
RS12,-5.2
RS121,-12.6
RS122,-6.6
RS123,-0.4
RS124,-11.0
RS125,-7.8
RS126,-8.5
RS127,-4.7
RS2,-8.5
RS21,-7.6
RS211,-9.1
RS212,-8.4
RS213,-9.0
RS214,-8.4
RS215,-12.6
RS216,-10.5
RS217,-0.8
RS218,-5.3
RS22,-9.8
RS221,-15.3
RS222,-12.1
RS223,-16.8
RS224,-11.6
RS225,-5.7
RS226,-12.6
RS227,-8.5
RS228,-7.5
RS229,-9.3
SE,2.9
SE1,4.5
SE11,6.0
